Kerteminde saltlage ruter,,,,,,,,,,,,,,,,,,,,
,"Bredden er udregnet med en decimal, hvis der mellem punkterne saltes i varierende bredder.",,,,,,,,,,,,,,,,,,,
,"Status: 1 = saltes i valgfri retning, 2 = saltes, 3 = strækning kan udelades",,,,,,,,,,,,,,,,,,,
,Forbindelse fra - til,,,,,,,,,,,,,,,,,,,Skal anvendes
Fra,,,,,,,,,,,,,,,,,,,,Kan undlades
Knude,til,sta-,længde,salt,til,sta-,længde,salt,til,sta-,længde,salt,til,sta-,længde,salt,,,,
punkt,pkt.,tus,i m,m,pkt.,tus,i m,m,pkt.,tus,i m,m,pkt.,tus,i m,m,,,,
1,2,1,254,4,,,,,,,,,,,,,,,,
2,1,1,254,4,3,1,85,3,23,1,376,4,,,,,,,,
3,4,1,116,4,189,1,403,4,2,1,85,3,,,,,,,,
4,5,1,78,6,21,1,700,4,3,1,116,4,,,,,,,,
5,6,1,480,8,17,1,247,6,19,1,340,8,4,1,116,4,,,,
6,5,1,480,8,189,1,50,8,7,1,450,8,,,,,,,,
7,6,1,450,8,8,1,425,8.4,26,1,300,9,,,,,,,,
8,7,1,425,8.4,9,1,586,4,10,1,351,8,12,1,483,4,,,,
9,8,1,586,4,10,1,190,4,11,1,475,4,,,,,,,,
10,8,1,351,8,9,1,190,4,11,2,90,11,,,,,,,,
11,9,1,475,4,12,1,160,8.5,13,1,310,9,,,,,,,,
12,11,1,160,8.5,8,1,483,4,15,1,70,8,14,1,220,5,,,,
13,11,1,310,9,14,1,75,5,27,1,90,8,,,,,,,,
14,13,1,75,5,12,1,220,5,16,1,440,3,,,,,,,,
15,12,1,70,8,18,1,330,3,17,1,415,8,,,,,,,,
16,14,1,440,3,18,1,150,3,19,1,560,3,,,,,,,,
17,15,1,415,8,5,1,247,6,19,2,290,4,18,1,370,4,,,,
18,15,1,330,3,16,1,150,3,17,1,370,4,,,,,,,,
19,16,1,150,3,17,2,290,4,5,1,340,8,20,2,510,7,,,,
20,19,2,510,1,21,1,600,4,75,1,650,6,,,,,,,,
21,20,1,600,4,4,1,700,4,22,1,650,4,,,,,,,,
22,21,1,650,4,,,,,,,,,,,,,,,,
23,2,1,376,4,190,1,560,4,24,1,700,4,,,,,,,,
24,23,1,700,4,25,1,250,4,190,1,165,4,,,,,,,,
25,24,1,250,4,26,3,825,3,,,,,,,,,,,,
26,25,3,825,3,79,1,1020,5,7,1,300,9,,,,,,,,
27,13,1,90,8,28,1,475,4,29,1,80,8,,,,,,,,
28,27,1,475,4,,,,,,,,,,,,,,,,
29,27,1,80,8,30,1,580,4,31,1,3300,4,,,,,,,,
30,29,1,580,4,32,1,2200,3,34,1,2400,4,,,,,,,,
31,29,1,3300,4,99,1,510,4,101,1,3300,3,,,,,,,,
32,30,1,2200,3,101,1,930,4,33,1,450,4,,,,,,,,
33,32,1,450,4,131,1,3000,4,34,3,1900,3,,,,,,,,
34,33,3,1900,3,30,1,2400,4,35,1,440,4,,,,,,,,
35,34,1,440,4,103,1,2500,4,36,1,1200,3,,,,,,,,
36,35,1,1200,3,37,1,910,3,191,1,1700,3,,,,,,,,
37,36,1,910,3,38,1,1200,3,191,1,1200,3,,,,,,,,
38,37,1,1200,3,39,1,600,3,104,1,1800,3,,,,,,,,
39,38,1,600,3,107,1,1900,3,40,1,2600,3,,,,,,,,
40,39,1,2600,3,41,1,940,3,45,1,2400,4,,,,,,,,
41,40,1,940,3,109,1,2800,3,110,1,510,3,,,,,,,,
42,44,1,390,6,43,2,3590,6,,,,,,,,,,,,
43,42,2,3590,1.7,,,,,,,,,,,,,,,,
44,42,1,390,6,47,1,2200,3,46,2,1900,0.8,,,,,,,,
45,40,1,2400,4,46,2,510,6.3,57,1,830,4,,,,,,,,
46,44,2,1900,6.2,47,2,80,9,58,2,1290,6,45,1,510,0.1,,,,
47,46,2,80,9,57,1,620,4,48,2,410,5,44,1,2200,3,,,,
48,47,2,410,5,50,1,680,6,49,2,3600,5.4,,,,,,,,
49,48,2,3600,0.3,,,,,,,,,,,,,,,,
50,48,2,680,6,192,1,380,6,51,1,200,6,,,,,,,,
51,50,1,200,6,192,1,430,6,52,1,130,6,,,,,,,,
52,51,1,130,6,53,1,620,4,54,1,310,4,,,,,,,,
53,52,1,620,4,,,,,,,,,,,,,,,,
54,52,1,310,4,60,1,120,6,55,1,670,4,,,,,,,,
55,54,1,670,4,57,1,90,4,56,1,530,3,,,,,,,,
56,55,1,530,3,,,,,,,,,,,,,,,,
57,55,1,90,4,59,1,653,5,45,1,830,4,47,1,620,4,,,,
58,46,2,1290,1.5,59,1,30,10,66,2,1100,6,,,,,,,,
59,58,1,30,10,57,1,653,5,64,1,310,3,,,,,,,,
60,54,1,120,6,62,1,1100,3,64,1,150,5,,,,,,,,
61,64,1,230,5,62,1,670,4,65,1,420,8,,,,,,,,
62,61,1,670,4,60,1,1100,3,63,1,1500,3,67,1,470,5,,,,
63,62,1,1500,3,,,,,,,,,,,,,,,,
64,59,1,310,3,60,1,150,5,61,1,230,5,,,,,,,,
65,61,1,420,8,67,1,380,4,66,1,410,8,,,,,,,,
66,65,1,410,8,68,2,890,6,58,2,1100,1,,,,,,,,
67,65,1,1100,6,62,1,470,5,69,1,1400,4,,,,,,,,
68,66,2,890,1,69,1,210,5,70,2,210,4,,,,,,,,
69,68,1,210,5,67,1,1400,4,71,1,160,5,,,,,,,,
70,68,2,210,7,72,1,1530,5,,,,,,,,,,,,
71,69,1,160,5,74,1,1300,3,73,1,575,5,,,,,,,,
72,70,1,1530,5,73,1,1500,3,75,1,1200,5,,,,,,,,
73,71,1,575,5,74,1,340,5,72,1,1500,3,,,,,,,,
74,73,1,340,5,71,1,1300,3,76,1,1600,5,,,,,,,,
75,72,1,1200,5,20,2,650,6,,,,,,,,,,,,
76,74,1,1600,5,77,1,1700,3,80,1,2600,5,,,,,,,,
77,76,1,1700,3,80,1,1900,3,78,1,1300,3,,,,,,,,
78,77,1,1300,3,82,1,1200,8,79,1,2100,8,,,,,,,,
79,78,1,2100,8,85,1,6200,3,26,1,1020,5,,,,,,,,
80,76,1,2600,5,81,1,400,5,77,1,1900,3,,,,,,,,
81,80,1,400,5,82,1,770,4,83,1,490,4,,,,,,,,
82,78,1,1200,8,81,1,770,4,84,1,2400,3,,,,,,,,
83,81,1,490,4,89,1,2500,3,88,1,1500,4,,,,,,,,
84,82,1,2400,3,87,1,2500,3,85,1,600,3,,,,,,,,
85,84,1,600,3,86,1,2300,3,79,1,6200,3,,,,,,,,
86,85,1,2300,3,87,1,1400,3,96,1,850,3,,,,,,,,
87,86,1,1400,3,84,1,2500,3,90,1,790,3,95,1,315,3,,,,
88,83,1,1500,4,91,3,2900,3,90,1,220,4,,,,,,,,
89,83,1,2500,3,92,1,1900,3,91,1,370,3,,,,,,,,
90,88,1,220,4,94,1,290,5,87,1,790,3,,,,,,,,
91,89,1,370,3,88,3,2900,3,92,1,1300,3,,,,,,,,
92,89,1,1900,3,93,1,2100,3,91,1,1300,3,,,,,,,,
93,92,1,2100,3,,,,,,,,,,,,,,,,
94,90,1,290,5,97,1,3100,4,95,1,340,4,,,,,,,,
95,94,1,340,4,96,1,1000,3,87,1,315,3,,,,,,,,
96,95,1,1000,3,86,1,850,3,97,1,6200,3,,,,,,,,
97,96,1,6200,3,94,1,3100,4,98,1,14700,3,,,,,,,,
98,97,1,14700,3,,,,,,,,,,,,,,,,
99,31,1,510,4,100,1,8800,4,,,,,,,,,,,,
100,99,1,8800,4,,,,,,,,,,,,,,,,
101,102,1,590,4,31,1,3300,3,32,1,930,4,,,,,,,,
102,101,1,590,4,,,,,,,,,,,,,,,,
103,35,1,2500,4,104,1,230,3,193,1,490,4,,,,,,,,
104,103,1,230,3,105,1,770,3,38,1,1800,3,,,,,,,,
105,104,1,770,3,193,1,420,4,106,1,260,4,,,,,,,,
106,105,1,260,4,134,1,1800,3,107,1,560,4,,,,,,,,
107,106,1,560,4,108,1,1700,4,39,1,1900,3,,,,,,,,
108,107,1,1700,4,124,1,960,4,109,1,1100,4,,,,,,,,
109,108,1,1100,4,111,1,510,4,41,1,2800,3,,,,,,,,
110,41,1,510,3,112,1,1700,3,,,,,,,,,,,,
111,109,1,510,4,115,1,1400,3,112,1,1300,3,,,,,,,,
112,110,1,1700,3,111,1,1300,3,115,1,1100,3,113,1,2400,3,,,,
113,112,1,2400,3,,,,,,,,,,,,,,,,
114,115,1,680,3,,,,,,,,,,,,,,,,
115,114,1,680,3,112,1,1100,3,111,1,1400,3,116,1,790,4,,,,
116,115,1,790,4,117,1,920,4,120,1,800,3,,,,,,,,
117,116,1,920,4,124,1,1900,4,118,1,410,4,,,,,,,,
118,117,1,410,4,125,1,2300,8,119,1,150,8,,,,,,,,
119,118,1,150,8,121,1,1300,3,120,1,780,8,,,,,,,,
120,119,1,780,8,122,1,340,8,116,1,800,3,,,,,,,,
121,119,1,1300,3,,,,,,,,,,,,,,,,
122,120,1,340,8,123,1,1700,8,,,,,,,,,,,,
123,122,1,1700,8,,,,,,,,,,,,,,,,
124,117,1,1900,4,108,1,960,4,126,1,2500,3,,,,,,,,
125,118,1,2300,8,126,1,1000,4,127,1,830,6,,,,,,,,
126,124,1,2500,3,128,1,550,4,125,1,1000,4,,,,,,,,
127,125,1,830,6,129,1,1500,3,166,2,700,7,,,,,,,,
128,126,1,550,4,139,1,2600,3,130,1,1500,3,,,,,,,,
129,127,1,1500,3,,,,,,,,,,,,,,,,
130,128,1,1500,3,141,1,640,3,147,1,780,3,,,,,,,,
131,33,1,3000,4,132,1,670,3,133,1,135,5,,,,,,,,
132,131,1,670,3,135,1,1400,3,134,1,690,3,,,,,,,,
133,193,1,1500,3,131,1,135,5,134,1,440,4,,,,,,,,
134,133,1,440,4,132,1,690,3,106,1,1800,3,139,1,830,4,,,,
135,132,1,1400,3,136,1,210,3,138,1,1200,3,,,,,,,,
136,135,1,210,3,,,,,,,,,,,,,,,,
137,138,3,2300,3,140,1,2400,3,,,,,,,,,,,,
138,137,3,2300,3,135,1,1200,3,,,,,,,,,,,,
139,128,1,200,3,134,1,830,4,140,1,230,4,,,,,,,,
140,139,1,230,4,137,1,2400,3,141,1,2700,4,,,,,,,,
141,140,1,2700,4,130,1,640,3,146,1,390,4,,,,,,,,
142,157,1,870,3,,,,,,,,,,,,,,,,
143,187,1,2100,3,144,3,2800,3,,,,,,,,,,,,
144,143,3,2800,3,188,1,2200,3,,,,,,,,,,,,
145,146,1,670,8,,,,,,,,,,,,,,,,
146,145,1,670,8,147,1,450,8,141,1,390,4,,,,,,,,
147,146,1,450,8,166,1,780,8,130,1,780,3,,,,,,,,
148,153,1,650,5,151,1,170,5,,,,,,,,,,,,
149,151,1,590,5,,,,,,,,,,,,,,,,
150,163,1,290,4,,,,,,,,,,,,,,,,
151,149,1,590,5,148,1,170,5,152,1,280,5,,,,,,,,
152,151,1,280,5,153,1,150,5,160,1,570,8,,,,,,,,
153,148,1,650,5,154,1,380,5,152,1,150,5,,,,,,,,
154,153,1,380,5,194,1,220,5,160,1,900,6,,,,,,,,
155,194,1,170,4,,,,,,,,,,,,,,,,
156,194,1,290,3,157,1,1300,3,158,1,160,3,,,,,,,,
157,156,1,1300,3,142,1,870,3,187,1,1300,3,,,,,,,,
158,156,1,160,3,185,1,980,3,159,1,590,3,,,,,,,,
159,158,1,590,3,,,,,,,,,,,,,,,,
160,152,1,570,8,154,1,900,6,161,1,320,8,162,1,870,8,,,,
161,160,1,320,8,181,1,510,5,163,1,1300,6,,,,,,,,
162,160,1,870,8,,,,,,,,,,,,,,,,
163,150,1,290,4,161,1,1300,6,164,2,90,5,,,,,,,,
164,163,2,90,4,167,2,960,5,166,2,870,5,,,,,,,,
166,164,2,870,1,127,1,700,7,147,1,780,8,,,,,,,,
167,164,2,960,1,170,1,380,5,,,,,,,,,,,,
168,170,1,220,5,,,,,,,,,,,,,,,,
169,171,1,130,5,,,,,,,,,,,,,,,,
170,167,1,380,5,168,1,220,5,171,1,160,5,,,,,,,,
171,170,1,160,5,169,1,130,5,173,1,160,5,,,,,,,,
172,173,1,190,5,,,,,,,,,,,,,,,,
173,171,1,160,5,172,1,190,5,175,1,60,5,,,,,,,,
174,175,1,40,5,,,,,,,,,,,,,,,,
175,173,1,60,5,177,1,120,5,174,1,40,5,,,,,,,,
176,177,1,210,5,,,,,,,,,,,,,,,,
177,175,1,120,5,176,1,210,5,179,1,330,5,,,,,,,,
178,179,1,200,5,,,,,,,,,,,,,,,,
179,177,1,330,5,178,1,200,5,181,1,190,5,,,,,,,,
180,182,1,450,3,,,,,,,,,,,,,,,,
181,179,1,190,5,161,1,510,5,182,1,400,4,,,,,,,,
182,181,1,400,4,180,1,450,3,184,1,260,4,,,,,,,,
183,184,1,260,4,,,,,,,,,,,,,,,,
184,183,1,260,4,182,1,260,4,186,1,2100,3,,,,,,,,
185,158,1,980,3,187,1,180,3,186,1,410,3,,,,,,,,
186,184,1,2100,3,185,1,410,3,188,1,170,3,,,,,,,,
187,185,1,180,3,157,1,1300,3,143,1,2100,3,188,1,290,3,,,,
188,187,1,290,3,144,1,2200,3,186,1,170,3,,,,,,,,
189,6,1,50,8,3,1,403,4,190,1,125,5,,,,,,,,
190,189,1,125,5,23,1,560,4,24,1,165,4,,,,,,,,
191,36,1,1700,3,37,1,1200,3,,,,,,,,,,,,
192,51,1,430,6,50,1,380,6,,,,,,,,,,,,
193,105,1,420,4,103,1,490,4,133,1,1500,3,,,,,,,,
194,154,1,220,5,155,1,170,4,156,1,290,3,,,,,,,,
